,R-18_Baseline,R-5_Baseline,R-5_C1D1,R-12_Baseline,R-12_C1D1,R-19_C1D1,R-20_Baseline,R-20_C1D1,R-2_Baseline,R-2_C1D1,R-18_C1D1,R-2_Week_8,R-14_Baseline,R-14_C1D1,R-6_Baseline,R-6_C1D1,R-6_Week_8,R-8_Baseline,R-8_C1D1,R-17_Baseline,R-17_C1D1,R-23_Week_8,R-16_C1D1,R-16_Week_8,R-4_Week_8,R-24_Baseline,R-24_C1D1,R-9_Baseline,R-9_C1D1,R-7_C1D1,R-15_Baseline,R-13_C1D1,R-13_Week_8,R-10_Baseline,R-10_Week_8,R-10_C1D1,R-4_Baseline
B cell,-0.558344083,-0.432380412,0.251201629,-0.681208806,-0.691487382,-0.362014079,-0.640380598,-0.670156372,0.79968295,0.905517679,-0.749397358,0.951306999,0.877684616,0.874802782,-0.195243845,-0.64211881,-0.520472239,0.511878476,0.081070288,0.079361521,0.349520925,-0.840918262,0.477245214,0.738779536,0.357082007,-0.054880509,0.163029531,-0.285213245,-0.322533602,0.687396314,-0.726718379,-0.430481116,-0.819816183,-0.690864969,0.675918038,-0.045150877,-0.42115294
C1QC Macrophages,-0.589878937,-0.16727666,-0.132537164,-0.193251906,-0.328251556,-0.500179535,-0.633135204,-0.634520335,0.447004871,0.483383111,-0.670420984,0.301855123,0.266763849,0.519501197,-0.441507418,-0.381763596,0.268385046,0.067317464,-0.330826193,0.323858212,0.579576885,-0.550916995,0.176842786,0.75741044,0.662975618,-0.011667566,0.490910364,-0.294637296,-0.173399599,0.797946232,-0.657669834,0.432481933,-0.785428787,-0.755487069,0.847458825,0.38559229,-0.090332104
CAF,0.210244411,0.219340287,-0.369690331,-0.427743964,-0.719816265,-0.451130017,0.440879473,0.704981515,0.259797377,0.230970539,-0.523380996,0.142844527,-0.774945854,-0.328822884,-0.544277903,-0.448551791,-0.406142519,-0.186348117,0.167520229,-0.545082763,-0.311412671,0.130393828,-0.231008159,0.113776836,-0.616624179,-0.613268076,0.156344709,0.813425115,0.619985533,0.623311779,0.640149782,-0.752149163,0.094632263,0.227680324,0.779486891,0.142467443,0.35109156
Cancer Stem Cell,0.213227537,0.731348637,0.345902418,-0.066956723,-0.599739112,-0.343767541,-0.499678152,-0.442495316,-0.045184223,0.204587162,-0.374265773,-0.097698299,-0.559366538,-0.367416716,0.337925169,0.46937769,0.484262912,-0.26135076,-0.111549713,0.471843615,0.267637778,-0.627736019,0.308298926,-0.186545446,-0.754747285,-0.391578988,-0.382336793,-0.001668147,0.072717778,0.398855066,0.489559789,0.050751422,-0.654486611,-0.160005236,0.168428811,-0.276116055,-0.642799498
CD8+ T cells,-0.604062052,-0.347381636,0.585903874,-0.800708393,-0.781205165,-0.846126255,-0.857469512,-0.81115495,0.853434362,0.890826758,-0.645130918,0.90867109,0.869081779,0.84608142,-0.507577116,-0.551649928,0.485114778,0.361370158,0.086755739,-0.050887733,-0.04349791,-0.956554878,0.299664521,0.876569225,0.903604735,-0.011388092,0.413692611,0.041293042,-0.099773079,0.161162765,-0.767395983,0.128317791,-0.700681492,-0.815503003,0.942880201,0.131187231,-0.695256456
cDC1,-0.34858734,-0.405813829,-0.32480838,-0.507188919,-0.656081554,-0.421193634,0.103858338,-0.018218694,0.609986101,0.430719297,-0.646469621,0.742420198,0.749113693,0.697395056,-0.61819958,-0.60472925,-0.579380714,-0.01830607,-0.078375538,0.053735797,0.367562841,-0.624847083,0.402575347,0.770089686,0.35146058,-0.476702516,0.233666428,-0.566906657,-0.629495077,0.628433011,-0.504220357,0.475370267,-0.577962015,-0.657922877,0.804058095,0.123271285,-0.004110069
cDC2,-0.634806215,-0.335580257,-0.35151378,-0.390843707,-0.497583076,-0.511551103,-0.541048808,0.229441306,0.283130305,0.2063716,-0.697369495,0.769139505,0.611504583,0.532606504,-0.602279508,-0.544684029,-0.293538756,0.143542488,0.035232597,0.255698171,0.558890988,-0.622479985,0.253605188,0.739010116,0.460393465,-0.208037459,0.386394567,-0.095385443,-0.437113555,0.844701556,-0.65137055,0.392894645,-0.678379628,-0.790628224,0.805111224,0.295458383,0.361755155
cDCs,-0.494753437,0.271440218,0.109124475,-0.453878132,-0.601721042,-0.257243989,-0.338674071,-0.038144824,0.448220662,0.516192438,-0.629387225,0.561671189,0.442346698,0.331476667,-0.537778304,-0.641095738,-0.381415827,0.426514248,0.548432093,-0.008497263,0.356333061,-0.338051752,0.235551616,0.663236479,0.558642043,-0.462252116,0.246414842,-0.232997891,-0.005252217,0.670335093,-0.662853261,-0.08306897,-0.794740258,-0.650325176,0.751040924,0.036426259,-0.0740215
Central memory CD4+ T cells,-0.523149497,0.6686247,0.612832354,-0.480810253,-0.629062225,-0.293130853,-0.342605201,-0.27346718,0.697753665,0.718843414,-0.607810608,-0.437079163,-0.130706524,0.523655367,0.385238674,0.340875659,0.412870157,0.714477873,0.603746757,-0.446281696,-0.244409216,-0.515715375,-0.242486844,-0.263466673,-0.365433738,-0.600387104,-0.487479536,-0.44307307,0.1373028,0.142575611,-0.154390687,-0.664753621,-0.639537712,-0.407462906,0.70135363,-0.402419224,0.132494857
Cytotoxic CD8+ T cells,-0.672095178,-0.288141728,0.59183441,-0.854381559,-0.764687416,-0.653856362,-0.755040227,-0.770277377,0.894564535,0.909677998,-0.676095496,0.860391066,0.765623609,0.745007948,-0.400416165,-0.414266403,0.520249385,0.474545311,0.07112927,-0.189780104,-0.068929949,-0.862760656,0.073728586,0.7702933,0.887119921,-0.219615367,0.35115223,0.035469559,0.098556082,-0.242574818,-0.787828505,-0.067091219,-0.681002781,-0.695106249,0.874275993,0.355224242,-0.73966275
Cytotoxic NK cells,-0.705932469,-0.391253858,0.549056619,-0.828047561,-0.686740505,-0.69301825,-0.761399571,-0.664950591,0.874891044,0.869456729,-0.763059952,0.816358091,0.792849019,0.79317788,-0.452990342,-0.527247452,0.536671177,0.384833327,-0.089735723,-0.045289449,0.035703858,-0.77893368,0.095063002,0.775615443,0.918703197,-0.081253562,0.382923613,0.129286127,0.382852787,0.166207019,-0.791803058,-0.081700372,-0.688220259,-0.782221886,0.852876553,0.285144164,-0.707294153
DCreg,-0.701340627,-0.55461444,-0.569255434,0.049500067,-0.463138082,-0.707371192,-0.845944775,-0.54623178,0.627084767,0.46938238,-0.86064655,-0.143248697,-0.257167618,0.246217414,0.054207954,0.016128971,0.628884007,-0.428741942,-0.633053849,0.467192737,0.526543769,-0.359368695,0.165986639,0.850289199,0.726699686,0.196655044,0.693314801,0.585319693,-0.265606956,0.868851724,-0.802300889,0.641393535,-0.682922825,-0.733444643,0.808232076,0.067479711,-0.080311169
