"","R-2_C1D1","R-2_Week_8","R-6_C1D1","R-6_Week_8","R-16_C1D1","R-16_Week_8","R-13_C1D1","R-13_Week_8","R-10_Week_8","R-10_C1D1"
"C4B",0.987643109411335,0.0926042946300845,-1.19543546225234,-1.38918129640624,-0.10866032835968,-0.728510820478518,1.71834933164137,0.921348703977339,-0.515482242439036,0.217324710275682
"HIF3A",-0.987325083206044,0.528474484265069,-1.3831007808297,-0.56852981208649,1.17989887621259,1.38686235900087,0.312695868130554,0.973645886535105,-0.48912823696207,-0.953493561059886
"MND1",0.621580087353747,0.561671517231234,1.0524237166213,0.392015109527915,0.63653852730385,-1.32452796561858,-0.597195512852206,-1.59998685308297,-0.852989268072016,1.11047064158773
"MAMDC2",-1.33284129171893,-0.318020840444495,-0.851725514162859,-0.63538653261256,1.15496638794838,1.34076164507114,-0.806098659339461,0.841918027698332,1.11535794500857,-0.508931167448123
"FASN",0.407847573759588,-1.27907452390573,0.153123396651325,0.118588797605615,1.01385728196613,-1.18524986473717,1.30918149425835,0.606847495732888,-1.56993812266488,0.424816471333901
"NTNG2",0.352089116213801,1.71151348111844,-1.00782129712216,-0.0637111903699369,-0.764138456970632,1.12413579891053,-1.26252690875471,-0.182877091331266,0.897441163407288,-0.804104615101347
"E2F8",1.18525244157104,0.655632891815717,0.269958006415494,-0.328714114580889,-0.126441470021387,-1.74629282923333,-0.0363748094310377,-0.992563555554995,-0.513930166790914,1.63347360581031
"LOC728392",-0.271198620044032,1.21112255461122,-1.0734173830932,-0.61805744854456,-0.113055718729838,1.55621683400306,-1.10824669595662,-0.201302646513986,1.31673026610971,-0.698791141841752
"FAIM3",0.380047496328402,2.23252302552939,-0.982642497912806,-0.642949556462969,-0.397220944471242,0.520326188805885,-0.709195967111173,-0.527698306962594,0.861667683595185,-0.734857121338067
"L1TD1",-0.108107510508278,0.85082945636704,-0.2439655643768,-0.254905784324329,0.0918631902613754,2.14438485782268,-1.57829612427571,-0.190457479143845,0.25783460665713,-0.969179648479259
"FGD3",-0.0936776981999947,1.42125498376327,-1.30826796640258,-0.497662784197056,-0.790392704932064,1.17766112435499,-0.487366253358769,0.490530756061696,1.1661028183233,-1.07818227541278
"KIFC1",0.906072289471388,0.119826210386686,0.913241354209727,0.445838155904913,0.519294355827429,-1.88901894960479,-0.360839108837928,-1.08375443866955,-0.759223925832803,1.18856405714493
"KCNMA1",-0.805071537963594,-0.11514086582422,-1.32767260951688,0.0170861370575953,-0.332910515343265,1.34448513741486,-0.176585306802293,0.554336396635583,1.82868126420131,-0.987208099859093
"DTL",0.300873730737305,-0.700333361718096,1.00432377011493,0.483553461965022,0.927954050823898,-1.4816305286776,-0.0203581825549515,-0.608893891266412,-1.32105696428183,1.41556791485773
"E2F1",0.825672010102167,-0.439965337118419,1.15203388577631,0.951045818317716,0.689137283812723,-1.5518957761548,0.00310270848432602,-0.507101240030059,-1.59132994053458,0.469300587344615
"CKS1B",1.20624313584841,-0.245637666293454,1.07915152429392,0.839133485124264,0.353649679090792,-1.48676647711748,-0.36006427575364,-1.04224962659046,-1.17309672675679,0.829636948154441
"PARP8",-0.104558250436905,1.0527813314342,-1.49881527760507,-0.679430178229532,-0.911754904790815,1.17531422714826,-0.0643217506060083,0.562667508215831,1.35871125707712,-0.890593962207075
"IGDCC4",-0.188582552786622,0.219910008797582,-0.367012914157819,0.0223441242249928,-0.352783590597171,1.36238864916084,-1.69270492987382,-1.11325013610978,1.53979141690357,0.569899924438225
"ZNF154",-0.530776409312648,1.2800849578557,-1.1185713588375,-0.455554570760243,-0.540981762331794,1.59444716811934,-0.431458491523504,0.782964398409712,0.663475613198541,-1.2436295448176
"CCDC150",0.299200174660891,-0.351975624783059,0.962698910500161,-0.00429052611668531,2.02406051832186,-1.2912289211699,0.314550233302066,-0.951594429423547,-1.04375554056868,0.0423352052768975
"ZWINT",0.964163641508177,0.0999021228118941,1.07799994057123,0.534917784404565,0.15872621634722,-1.81245656672342,-0.0421791806465269,-0.890189226210681,-1.16429185396295,1.07340712190049
"SLFNL1-AS1",0.911789797401175,-1.07418843550668,1.09146502480729,0.165775072345599,1.22723470041629,-1.2575991773636,0.956573898965806,-0.271680044772771,-1.18236037831701,-0.567010457976115
"C4A",0.578739710754701,-0.237240095939173,-0.906735625231206,-1.08016069978739,-0.0510582120114821,-0.678078599059143,1.96703309177705,1.28758003248919,-0.788688440614019,-0.0913911623785207
"ESPL1",0.603073183628251,0.0631991954059864,0.742735287105713,0.125391291223811,-0.0508157521337121,-1.77736944102198,0.242390251036421,-1.04031939275925,-0.712388479172103,1.80410385668687
"ALS2CR11",-0.839537421081266,0.255219987258356,-1.12876226819312,-0.70626637744094,-0.314322836930399,1.52978861232499,-0.735010113701741,1.56652925590491,0.877010148989798,-0.504648987130578
"YPEL4",-0.722869348367125,-0.485314728424624,-1.01029245973157,0.639624267032471,-0.318986657919643,0.807619165172184,-1.28562237282583,0.210617666982551,2.0868121824497,0.0784122856318843
"RHOH",0.560145099790845,1.93383576980291,-1.26103142630997,-0.621510567505564,-0.372808329047437,0.832920363056201,-0.728715578029011,-0.787529632113315,0.888377491845702,-0.443683191490363
"WDR63",-0.907323102706638,0.34340348796949,-1.13127897335778,-0.898839009356695,-0.500487893086002,1.7584802718918,-0.41694755698798,1.0506240831769,1.09417729174769,-0.391808599290794
"LOC100288637",1.04671224533751,-0.308108779323365,1.49566260883468,0.344336058483202,0.241681831779403,-1.1154486317353,-0.676306024453185,-1.48729044901543,-0.600257642309125,1.05901878240161
"CLIC6",-0.441518908535528,-0.258492379826841,-0.978322709044564,-0.557946959739225,-0.226697629859024,0.861626159395471,0.720964538757824,2.14190463786534,-0.0091581982486578,-1.2523585507648
"CAMK1G",-0.814914588305567,-0.168886489379826,-1.08941934036817,-0.773824486089447,-0.114971840152968,2.30102290548041,-0.46443603382202,0.409509672707996,0.893757603491498,-0.177837403561908
"RFTN2",-0.837675832374795,0.629135195169136,-0.925422899348685,-0.269662260876524,-0.945377352603195,1.25929940901943,-0.59121092447922,0.542416900501851,1.83454617097873,-0.696048405986735
"RUNX1T1",-0.114334174701431,0.899468861902233,-1.46601476460468,-0.726064905493298,-0.484306542498036,1.32023456302615,-0.810727326331663,0.203797091492903,1.62128894421148,-0.443341747003658
"SCN7A",-0.740949058663743,-0.606420953284608,-0.829653406406466,-0.507027742293454,1.19643651402022,1.70010305591697,0.214130083927346,1.1938463724651,-0.683817567215772,-0.936647298465586
"IFI6",0.484060983899433,-0.530863773555241,0.0174342676522539,-1.23070671691455,-0.749059465320072,-1.29294538952911,1.5952640319829,1.05968937757693,-0.331773364010485,0.978900048217947
