"","R-18_Baseline","R-5_Baseline","R-12_Baseline","R-20_Baseline","R-2_Baseline","R-14_Baseline","R-6_Baseline","R-8_Baseline","R-17_Baseline","R-24_Baseline","R-9_Baseline","R-15_Baseline","R-10_Baseline","R-4_Baseline"
"SPOCK2",-0.741802346779885,1.04303185685759,-0.617139325299406,-0.884905054945575,1.20300298099045,2.17675701470041,-0.884958716623979,0.882738993278308,0.0436508771204615,-0.268739088017852,-0.0422518026135669,-1.27659616072604,-0.83803070104892,0.205241473108016
"HIST1H3J",1.46143473625496,0.571184760721086,0.341086365611462,0.516290597717321,1.02105930538544,1.25572167002484,-1.38414334825963,-0.898871981902251,0.74900285921861,-0.489419466190007,-0.925017727654219,-0.112439010336818,-1.7332447419412,-0.372644018649583
"IL2RA",-0.455945368904422,0.76459541667893,0.0084724215030526,-0.00222531137853895,1.80480404635298,1.39056048652939,-0.402426366437126,0.834839695008081,-1.03242765228578,-0.203968695703544,0.682179176694416,-1.82877401056575,-0.889274073306282,-0.670409764185401
"LIFR",0.277612761018794,-1.55464875221324,0.456030378410372,-0.0182432556098346,0.376905835712426,0.45473098544911,-1.52744974924619,0.543080039339424,1.42151076094338,1.50211636305709,0.242215755871377,-1.25382353869677,-1.1635108025578,0.243473218521867
"FGD3",0.504821506608631,1.06333086297977,0.13900780491335,0.591119926598027,0.750887660657919,1.55941624295793,-1.1354549822094,0.0455435354578377,-0.844054177773209,-0.91834461395577,-0.168769522665728,-1.40578998251178,-1.39119752996876,1.20948326891117
"MUC20",-2.36881260424071,-1.12983614424043,0.359577263359964,-0.149821792486512,0.122684139406841,-0.136156741946311,-0.183094783859001,0.197925150801191,-0.433667746509725,0.381676540586773,-0.493118112717825,1.7791945800946,0.985529600878979,1.06792065087218
"GPSM3",0.680726295911738,0.407369116142478,-0.326185783366596,-0.483667215164509,0.860302282031275,2.24529856312997,-0.905539480487108,0.146784855396032,-0.319607115902614,0.0619632333035925,0.229820667526609,-1.47590314067614,-1.66555111422088,0.544188836376127
"FLNC",0.107435611978762,-1.6114773923028,-0.438296492827788,-0.0371591101994633,-1.11119717055686,-0.854150884766653,1.99681375641043,-0.550464924488101,-0.863826505912222,0.0141488251467292,1.08298875864471,0.442548378408543,1.20062002728322,0.622017123181496
"ZNF219",-0.452090424845748,-0.905704097273871,0.156870098056037,-0.135327783667461,-1.29952952221183,-0.887582779802732,2.62183834858493,0.00328982492935577,-0.371666852294134,1.08688445107589,-0.611875403537927,0.690665462713481,-0.398146152953144,0.502374831227151
"CTLA4",-0.0659906713352759,0.356158047470216,-0.50496702923603,0.249929600125829,1.65214630073649,2.09116591248751,-0.648294875645771,0.856638295165029,-0.69224020003879,-0.321581729571034,-0.446031536398349,-1.77285410397919,-0.169941742056015,-0.584136267724608
"KCNK6",0.768592704067537,-0.256410126529679,0.421500966102446,-0.830926293768054,0.637550063560154,2.49402605778824,-1.66259192182935,-0.717294631903522,-1.17987921955621,0.0830643276507977,-0.0417327338189035,-0.192973771713415,0.14297905150881,0.334095528441142
"SLC17A9",0.590484508487758,1.00236830251952,0.668261833593807,-0.823412074250329,0.552876148495085,0.955711245096684,-1.77506731682165,0.0806811079976724,0.294411688508651,-0.0862360176590103,-0.40238358407007,-2.14227006396481,-0.0544020788799273,1.13897630094661
"FUT7",-0.273834802733093,-0.817793634823747,-0.665972132286926,0.0858250781894537,2.00811998977135,2.38902680260395,-0.789766164042238,0.423074156618485,-0.231583847876817,-0.2400805316164,-0.535794497527233,-0.76050904239764,-0.531402825090325,-0.05930854878882
