"","R-5_C1D1","R-12_C1D1","R-19_C1D1","R-20_C1D1","R-2_C1D1","R-18_C1D1","R-14_C1D1","R-6_C1D1","R-8_C1D1","R-17_C1D1","R-16_C1D1","R-24_C1D1","R-9_C1D1","R-7_C1D1","R-13_C1D1","R-10_C1D1"
"CD27",0.286231899300439,-0.808066078304578,-0.715785609385407,-0.848143624875464,1.60001791316608,-0.690440592526857,2.70036378842295,-0.972444510155262,0.24238180065074,-0.0670674758127098,0.706135430375692,-0.100482481345036,-0.86472529012783,0.267647548974081,-0.588150901760336,-0.147471816596492
"KLRC3",0.142125628633912,-0.813480659714839,-0.674702747557355,0.0747067794725149,1.07189648103801,3.2717383895445,0.322266793384548,-0.827939147948458,-0.260296850858666,-0.431728036677082,-0.251122507967985,-0.289781375736198,0.127176985184582,-0.718885469668396,-0.422264966361966,-0.319709294767129
"TAF7L",0.111880242770246,0.365691053364079,-0.935452232603151,-0.0643913991748564,0.809911599387748,-1.26072163500654,1.5984133612212,-0.819662073095375,0.015026099825239,-0.412972617982095,2.4818702887732,-0.166614096411271,-0.212664311020944,-1.02086225157343,0.439747747694023,-0.929199776168058
"NINL",0.952977858421549,-0.434255234898155,-1.42235692742802,-0.249687249812587,0.12642780407894,1.71049304862176,0.347621759459858,-2.03689472519468,0.854319671942186,0.262272094798012,1.09322674880215,0.240884242043226,-0.125567745888846,-0.758310603646499,0.669739095413786,-1.23088983671267
"TREM2",-0.649256178210865,0.311541662136104,0.294204153338701,-0.683566674645535,-0.475957561765314,-0.654246849760804,-0.705731358205818,0.562094204627049,-0.982925317395539,0.115479096726748,-0.498177004713809,-0.205777411655755,0.301838341245627,3.30726885261472,-0.300524215162664,0.263736260827155
"TCF7",0.589437277596049,-0.663393335775441,-2.40212260742399,-0.0540465994111316,0.865977447677529,1.5246756529117,1.11479935155068,-0.842543167736358,-0.432589294989903,0.576597417963634,0.846683243303625,0.322318801839808,-0.894105553697282,-0.747156239688498,0.687232982945145,-0.49176537706559
"MMP25",-0.576398337455733,0.0532639809037201,-1.14736391298959,0.42637504983059,1.38361020926072,0.601814905397828,1.84288197985215,-1.45943018047968,0.0646960785024065,-0.143581911903827,-0.488989327337846,-0.16090905026874,1.80361819843156,-0.381290920167553,-1.01557412315476,-0.802722638421254
"HSH2D",0.544825152528008,0.574181073432355,-0.127892232047531,-0.580370900520072,1.19289106933262,1.44741141352799,1.91824019743924,-1.60456833272844,-0.148384966799862,-1.44310724273191,-0.446164010611377,-0.0398878427328367,-0.766004230468076,-1.09150068680599,0.253419032147672,0.316912507038204
"DRICH1",-0.553095023065074,-1.32755823608835,-0.609065276092283,0.439850584287132,0.110587275144889,1.04633807871732,1.34878652509548,-1.28130395860141,1.00245293502043,0.0389180673226437,2.21374706205985,0.00317372138287927,-0.285707024133465,-0.323852256217858,-0.764249913775175,-1.05902256105701
"HIST1H3I",0.898322176226793,-1.61953734768348,-0.348672785663192,-0.661225493803758,1.38708272039984,0.0246051834370147,0.780912795399447,-1.37785237215389,0.699660896101637,0.280548393048521,2.02756620957901,-1.05079442556203,-0.745974124603988,0.149484136131884,-0.464493459952759,0.0203674990989474
"SEPT1",-0.690974811938926,-0.269045697634082,-0.93823023204765,-0.646432253094842,1.81886778765289,-0.0385490673326314,2.48134452520645,-1.27927074975048,0.280689259539671,-0.206919556057922,0.617854695722199,0.53651087039374,-0.455809376047051,0.19120832748879,-0.575338314932501,-0.825905407167669
"SYPL2",-0.927404162595206,0.660600509049971,-0.453788573023351,-0.567265227685213,-0.935862410751276,-0.837308162736683,-0.849608831583457,0.339075541898304,-0.622078606535433,1.70931897361681,-0.864842182712499,1.26022662500572,0.0461009816164263,0.640084025919658,2.06547228964679,-0.662720789130557
"FAM78B",-0.701685259405798,-0.569440107489417,-0.128299579880065,0.0701595116388966,-1.35905386733439,0.140552310886812,-0.797059842306468,1.7899987123481,-0.700692928137071,-0.440801996764647,-1.18797038687031,1.04921055348132,0.343321263238032,1.87812709316001,-0.53725398381441,1.15088850724939
"ZNF91",-0.862530442202351,0.940333706958574,1.42243421081887,0.570225089956812,-0.610486480942119,-1.0606043872476,-0.143963833268711,1.75122308055927,0.0266437960815544,-1.03526090711217,-2.00022557889274,-0.738381677413729,0.523222982765226,0.464144615862446,0.529587999643245,0.223637824433398
"PLCXD2",-0.708265815581308,-0.540069196758695,0.374229274120209,-0.491904323224515,1.406294882684,-1.42647520242416,2.02782621094884,-1.62899396177692,-0.293017920627904,-0.0402519575855315,1.57318817325203,0.216179437465447,-0.298760174639364,0.24182114089331,0.114108197611677,-0.525908764357117
"SUPT5H",-0.0344144032568338,-1.00535889388458,0.229435013612239,-0.479115541227516,2.29986601284231,0.328816609089193,2.24644564227094,-0.637100397805486,-0.448065580302442,-0.565412582424608,0.852682420807205,-0.548331485099469,-0.537418945271985,-0.747530499055067,-0.429209272203099,-0.525288098090787
"MRPS12",-0.269956956969301,0.185194518015785,0.285998031847507,-0.221928761966831,2.22096996370456,-0.52454556055104,2.2111803910709,-0.749863306267201,-0.496949371950164,-0.132344004733893,1.06547527750507,-0.836674565907798,-0.979192222966718,-0.67747356945357,-0.569144625005291,-0.510745236371998
"FFAR4",-0.896314336124835,0.120540319592255,-0.38525311002655,-0.0345471204151948,-0.754626120684273,-1.23517134539191,-1.03426222589791,0.322444009544858,0.0330218927263439,-0.270997012012614,0.598559475246635,0.269627067971356,-0.297354642322226,3.09679285930432,0.718721208605999,-0.25118092011625
"HSPA14",1.89857138688499,-0.263905131094273,-0.857297396480944,-1.02639480192655,0.875811943874835,0.871857330829019,1.79300788573099,-0.142179929171186,0.785778684124956,-0.941312768299941,0.493909615696925,-1.14609355912267,-0.476914614118311,-1.01004229898983,-0.652225955036844,-0.202570392901153
"ACTN4",0.361860187502725,-1.18258738407249,0.0686160572300481,-0.353139939832086,2.37706613021924,0.664925217288747,1.92818394516212,-0.153826854546613,-0.891475232891771,-0.0972459283820954,0.258563226500148,-0.463680918059997,-0.93959011704065,-1.04126115807174,-0.661931186503164,0.125523955497579
"ADAMTSL1",-2.11826131363296,-0.472634812732112,0.527018867205505,1.16700688305726,-0.40453910175711,-1.04590950861316,-0.83095257843712,0.123796500081048,2.23562421896897,0.145143566707617,-0.626222483995536,0.157409835216534,0.784785127131441,0.548994994444444,-0.492465612971475,0.301205419326643
"FAM135A",0.0914115976100278,0.385224721346441,-1.47498471032566,0.788694302329236,1.37264159707038,0.289157971086687,-0.0831690150072625,-1.44903821235884,0.417200365517459,0.383525086210096,1.68962692112201,-0.277399470028757,-0.965216966424428,0.816218851928978,-0.232824960458212,-1.75106807961814
"ITGB5",-1.03577959595337,0.350851815849013,1.304374483675,0.179876294265686,-0.02914942651987,-1.89535985807653,-1.36777513393876,-0.581339642442126,-0.149672739680703,-0.273351739395827,-1.12134220624484,0.718468067788481,1.38983521436804,1.32045446215436,0.679806196433913,0.510103807717536
"C12orf5",-0.20151689992355,-0.105032420528902,-0.355339203795463,-0.267347839661637,0.0483864474910369,-0.665879348400688,1.15506181197887,-1.36193323171429,-0.184860601061974,-0.463716840862382,3.03435468045809,-0.480830836011013,-0.122402613743129,0.960575491365556,-0.473815676857823,-0.515702918732704
"TBCB",0.71754324271224,-0.0292433411463209,0.463096867612913,-0.108902233758305,1.91766878056327,0.913313397730143,1.87507326278684,-0.154274726526423,-0.776162119857884,-0.394443911389946,0.607752175630239,-1.05043089250342,-1.08785616900139,-0.999445681424906,-0.963127734050836,-0.930560917376196
"PRPF18",1.61784260291056,-0.880853658089661,-0.99934262111642,-0.386237534182602,0.959186034593864,0.470823146295008,2.18865558616972,-0.325192260110181,1.16049553619006,-0.928624788571864,-0.0173696743243169,-0.598024295779405,-0.121780772497513,-1.0166975173194,-0.265484727763333,-0.857395056404541
"TIMM50",-0.995498460235457,-0.258575272311775,0.440061195462142,0.0347719263034574,1.93187461159371,0.067989416165467,2.50549299349842,-0.968211579281627,-0.665624457266234,-0.519216162228478,0.775583918352851,-0.302070708776345,-0.683185680141083,-0.881484419447099,-0.363987326739291,-0.117919994948641
"MICA",-1.56419751440769,0.265311311663653,0.449708913741433,-0.14132686945877,-0.779488344614629,-1.30821210494697,-2.07839977104542,1.32328049386265,-0.0147633177539435,0.345723976165327,-0.0368747511792598,0.326729808430855,0.88148797924554,0.987696384669336,1.37457264415693,-0.031248838529052
"DCLRE1C",1.59146418811131,-1.22833735075741,-1.01176465128674,-0.697645179773676,1.33509006277676,1.39436102221562,0.80681871405122,0.35058544185159,1.06134796240791,-1.12518322091882,0.527277259080784,-0.875142513404535,-0.202375699160771,-0.366372133578735,-1.02389344603804,-0.536230455576461
"LDLRAD4",-0.105038799528858,0.935754302948451,0.028013553879219,-0.437866918546058,-1.90451601971909,0.619426816932336,-1.16644993369396,1.54755962740568,-1.32645513228541,0.402309991340373,-1.09684663045502,1.6406155326774,0.0840958690660793,0.0910791223276709,0.551661421025343,0.136657196625845
"TCEAL4",-0.887460198900909,0.985927855226035,0.309242432560832,1.00440571511654,-1.4492288638569,-0.877016293364038,-1.54150665712061,0.562739448493144,1.02558722395502,-0.114322757821273,-1.4015789393457,1.05883539029818,-0.733149630357147,0.191379191300127,0.700996691095647,1.16514939272106
"GNB1L",0.604152159799028,-0.865197284907299,0.332454074281899,-0.875970458052426,1.45884976453385,1.49424854344835,1.45617228276589,0.329331196345,-0.762909696667816,-0.875699430275438,1.28058209800489,-0.881521933296145,-1.36063185164758,-0.273700518583837,-0.816971561706303,-0.243187384042087
