"","R-10_Baseline","R-10_C1D1","R-10_Week_8","R-12_Baseline","R-12_C1D1","R-13_C1D1","R-13_Week_8","R-14_Baseline","R-14_C1D1","R-15_Baseline","R-16_C1D1","R-16_Week_8","R-17_Baseline","R-17_C1D1","R-18_Baseline","R-18_C1D1","R-19_C1D1","R-2_Baseline","R-2_C1D1","R-2_Week_8","R-20_Baseline","R-20_C1D1","R-23_Week_8","R-24_Baseline","R-24_C1D1","R-4_Baseline","R-4_Week_8","R-5_Baseline","R-5_C1D1","R-6_Baseline","R-6_C1D1","R-6_Week_8","R-7_C1D1","R-8_Baseline","R-8_C1D1","R-9_Baseline","R-9_C1D1"
"CDH3",-0.410089744918963,-0.0897924022844998,-2.09514931821271,-0.871796456074488,-1.03430199408075,-0.897949088125509,-0.419153648066085,0.556073672933249,0.432283376419003,-1.14937249779871,0.431729835923607,-1.19815156364391,0.577712943563502,0.645479442417919,-1.95346675616128,-2.10432692696179,0.316850199100206,1.0742314881727,1.00827868125292,-0.455288387204025,-0.382780077489158,-0.359969845865046,-0.46375395842687,-0.291107796757177,-0.074436287000954,-0.471052768902324,-0.233456821975352,1.25814959155316,1.66860150687381,1.51825706381739,1.47361535568193,1.39599019891968,-0.163382637390263,0.694793175595882,0.906326200169513,0.413293384621052,0.747112860324348
"CENPF",1.02773901974211,1.69001383323579,-1.09498755496271,-0.445812503213742,-0.168894700726562,-0.365423157847605,-0.90298157389332,0.332104591593952,0.254139188794311,-1.18920437025507,0.973683202140444,-2.41637617929133,0.796397603253666,0.266178187143759,0.724289028917508,0.716471447827559,0.361944848751447,0.950346869793399,0.910770621595232,-0.210232420483043,0.4589004538923,0.391633280290352,-0.770850392701635,0.180135681262992,-0.70193899415793,-0.801334467904519,-0.469072259563514,0.530837658919414,0.0680996753748452,1.45627345336079,1.31218055484425,1.04474220022073,-2.38322271891998,0.251057517646421,0.139701931080144,-1.68437286403737,-1.23293669172308
"CEP55",0.133116601062494,0.914434792687073,-0.76880340369278,-0.131970178966218,0.291189046904316,-0.429134201848395,-1.45423961743079,0.874770688600098,0.89736188046852,-1.87085970362303,0.580858910763073,-2.05466333163346,0.447115109539139,-0.0602641943385675,1.08767946548301,1.38950396571483,0.852339083008584,0.528993638824245,0.250183905684675,0.0262112206984145,-0.689192916796725,-0.626247172163061,0.748924116637593,0.389915093686001,-0.520438129604369,-0.988916733029908,-0.448786277999384,-0.0408187131985361,0.164848377539468,1.42391266386185,1.40659202827007,1.14651538306002,-1.77104899757367,0.791665798273535,0.786175612718354,-1.69801275518165,-1.57891105640484
"CXXC5",0.93752302941123,1.5439720314824,-0.397510357301347,0.793240524906798,1.27630424620925,0.609431164673952,0.559418983146615,0.0863902849996615,0.0261641216404185,-0.0599444737753944,-2.01766597722766,-0.399833144042408,0.052342290895255,0.05429734781146,1.26273737860813,1.4951014636348,1.61732748748945,-0.993590760453426,-0.702053240363309,-0.283802813060785,0.475586858568355,0.296955888314282,0.971852802094022,0.309788153740703,0.151713628030568,1.3478291424384,1.1745552496378,-1.97752887803763,-1.35751985867389,-0.742679752494238,-0.862996854846266,-0.827226154423176,-0.462312175571774,-1.23903689554394,-1.59570247670042,-0.833625718797094,-0.289502546420804
"EGFR",-0.625166370587167,-1.35567912209497,0.549112240275124,-0.464221005839794,-0.368235196220125,1.90978252586246,-0.492447310778488,-0.889868526185139,-0.73712222088887,-0.946522162787641,-0.0604152412163837,0.193052390729418,1.72961833544455,1.59385665648861,-0.904340423840498,-1.67911353618079,-1.34904346654139,1.63951268435297,1.4651121558123,0.0254182419308491,-1.12291932283037,0.768961317544436,-1.11273789176067,1.06105402906851,0.843936548203425,-0.651536511499134,-1.31529865195483,-0.994161916578572,-0.552896607617321,0.591633341330959,0.702263404392533,0.634974684865903,0.721394911161422,0.550421076961054,0.81709714481642,-0.051288470029138,-0.124187733809642
"ERBB2",0.84782695525378,0.344006054449751,-2.31337850511035,0.647395400108319,0.673252373897855,0.350256400171752,0.606958312754026,-0.670865199032328,-0.939666318881995,2.54121739986029,-0.526449876304642,-1.54992042704785,-0.393641577444594,-0.357762086773096,-1.09428877060583,-0.636545115783594,-0.299893561353902,-0.490160734944549,-0.235492153742214,-2.52133810989498,0.827424662820555,0.750814056179319,1.18405494494204,1.02563953780145,0.512201146038567,0.393021676184771,0.143630581409912,0.739266000818235,1.00857773904686,0.293182201032073,0.304641674546975,0.468276280189545,0.691711944451643,-1.28882484786961,-0.999830741138027,-0.249715056452653,0.214417740422463
"ESR1",0.923532846419769,1.06324492423579,-0.691256515446325,1.25029384015407,1.24256193366259,0.867183666499242,1.1755336317038,-0.786056594207006,-0.769129069084426,-1.14438445913514,-1.18941330367974,-0.817060238087172,-0.496235613311146,-0.551502788789648,1.01421949448767,1.20999238264247,0.970769346272666,-0.347719721619437,-0.27931522329579,-0.559280431490906,1.02154831937575,0.889095655939294,1.74495376449328,1.23220678788907,0.973322772998855,1.04732693172518,0.699011159304713,-1.49782970914087,-1.48080225311611,-0.952285669947482,-0.856105981915512,-0.909894158921528,-0.693523817918728,-0.805314303004038,-0.91785839789303,-0.520538120843272,-1.0592910869569
"EXO1",0.606803474111665,1.2757023753471,-1.24325679992515,-0.537687040526634,-0.293688476822819,-0.364905294382009,-0.773524285378824,0.734870922463733,0.519324391704935,-1.12036162709776,1.28421752889795,-2.4732536745387,0.956628716015561,0.739590938854949,0.665337430221188,0.99385709056181,0.190110167376537,0.902568066362208,1.01996387565669,-0.278094316063942,-0.544095442563036,-0.341947613289421,-0.48765799419631,-0.271417170549853,-1.03257720765845,-0.686230620809456,0.00495889693096071,0.135995675606824,0.113557745208231,1.72134538104444,1.63974991347017,1.02594017703649,-1.85830194062097,0.298726927914926,0.305133319470225,-1.53547966378998,-1.29190384604329
"FGFR4",-0.315436111690598,-0.634734604281983,-2.5275124602571,-0.0920521493111588,0.267801604704063,1.55375829627637,-0.608591482665785,-0.84666411926741,-1.06002663781295,1.90918991859073,1.01200423480217,0.909017945727198,1.36422979132791,1.38336868697073,0.769312509209606,1.76094156183797,0.68642793793034,-1.3740802359654,-1.33745805140895,-1.33305034627997,0.107302267233105,-0.463395684227081,0.891005552980041,1.05663199761486,0.670714997781108,-0.976256537366769,-0.0165913836164614,-0.144124655629502,-0.537075552851251,-0.00965990659212396,-0.166774156277783,-0.898277714171753,0.310325411997679,-0.707983598577805,-0.420838897417307,-0.233788066745225,0.0523396374304848
"FOXA1",0.867819734906912,1.01877566971926,-1.5871326596962,0.912139497226567,0.962789231478814,0.775464045275213,0.789176244919313,-0.277881350884956,-0.398015068419078,1.32683867801623,-0.880035549333415,-0.669316158690389,-0.0131356723673996,-0.202109243164164,0.999608775746751,1.17297427923855,0.960994157475879,-0.794743412138171,-0.955440136491344,-1.54888645645981,0.852626356557422,0.741039055575674,1.10897861521562,0.633270034988544,0.374679362115153,0.503989538266894,0.684867478675664,-1.84207127518723,-1.73682534507781,-1.27255138155258,-1.17201318828104,-1.03238349450907,0.614223032475722,-0.946192371594638,-1.30864855235292,0.459903707294937,0.877223821031087
